Timestamp,Likes,Shares,Comments,UserFollowers
2023-01-04 07:00:00,491,39,132,64902
2023-01-04 08:00:00,424,29,80,86166
2023-01-04 09:00:00,351,70,80,51375
2023-01-04 10:00:00,389,71,29,53298
2023-01-04 11:00:00,42,92,65,52801
2023-01-04 12:00:00,362,28,153,37109
2023-01-04 13:00:00,364,73,71,25281
2023-01-04 14:00:00,40,29,129,46539
2023-01-04 15:00:00,58,8,10,5644
2023-01-04 16:00:00,443,38,145,3082
2023-01-04 17:00:00,120,6,34,32712
2023-01-04 18:00:00,179,37,120,79971
2023-01-04 19:00:00,154,64,80,72969
2023-01-04 20:00:00,481,60,53,32766
2023-01-04 21:00:00,13,59,115,70044
2023-01-04 22:00:00,357,95,30,95034
2023-01-04 23:00:00,281,42,85,65657
2023-01-05 00:00:00,273,25,177,7196
2023-01-05 01:00:00,325,28,9,58782
2023-01-05 02:00:00,315,67,139,6709
2023-01-05 03:00:00,195,94,23,89128
2023-01-05 04:00:00,430,25,123,34181
2023-01-05 05:00:00,415,13,101,51572
2023-01-05 06:00:00,37,63,129,80664
2023-01-05 07:00:00,20,71,107,10398
2023-01-05 08:00:00,227,35,179,84628
2023-01-05 09:00:00,459,98,113,57412
2023-01-05 10:00:00,389,19,182,76939
2023-01-05 11:00:00,29,35,58,39823
2023-01-05 12:00:00,38,46,146,58874
2023-01-05 13:00:00,66,27,64,58374
2023-01-05 14:00:00,344,87,199,61655
2023-01-05 15:00:00,86,3,120,87131
2023-01-05 16:00:00,397,69,186,9133
2023-01-05 17:00:00,295,22,6,5458
2023-01-05 18:00:00,330,79,155,5398
2023-01-05 19:00:00,275,3,118,8919
2023-01-05 20:00:00,215,85,6,37040
2023-01-05 21:00:00,431,66,146,65081
2023-01-05 22:00:00,297,62,31,92967
2023-01-05 23:00:00,435,7,73,20230
2023-01-06 00:00:00,164,63,98,20308
2023-01-06 01:00:00,393,27,140,62143
2023-01-06 02:00:00,96,95,52,87673
2023-01-06 03:00:00,272,37,22,95251
2023-01-06 04:00:00,315,99,99,33167
2023-01-06 05:00:00,303,88,97,10039
2023-01-06 06:00:00,69,49,139,10917
2023-01-06 07:00:00,131,25,93,90539
2023-01-06 08:00:00,365,42,163,96948
2023-01-06 09:00:00,153,50,109,28696
2023-01-06 10:00:00,374,17,68,57143
2023-01-06 11:00:00,151,86,67,84711
2023-01-06 12:00:00,179,70,126,59431
2023-01-06 13:00:00,75,51,84,2352
2023-01-06 14:00:00,116,61,138,43831
2023-01-06 15:00:00,431,53,87,33879
2023-01-06 16:00:00,392,30,30,40176
2023-01-06 17:00:00,253,46,191,11790
2023-01-06 18:00:00,405,43,103,10634
2023-01-06 19:00:00,251,42,160,2811
2023-01-06 20:00:00,191,95,112,14933
2023-01-06 21:00:00,197,92,129,48935
2023-01-06 22:00:00,63,79,145,68150
2023-01-06 23:00:00,466,32,72,67603
2023-01-07 00:00:00,194,42,97,43011
2023-01-07 01:00:00,216,90,179,95736
2023-01-07 02:00:00,71,35,104,5276
2023-01-07 03:00:00,21,92,77,56380
2023-01-07 04:00:00,82,73,153,77249
2023-01-07 05:00:00,19,25,45,65556
2023-01-07 06:00:00,114,47,106,2502
2023-01-07 07:00:00,97,72,28,76398
2023-01-07 08:00:00,149,64,84,68582
2023-01-07 09:00:00,166,7,185,82091
2023-01-07 10:00:00,304,43,161,99533
2023-01-07 11:00:00,110,57,112,55034
2023-01-07 12:00:00,490,98,73,69269
2023-01-07 13:00:00,368,98,195,67093
2023-01-07 14:00:00,382,61,198,94797
2023-01-07 15:00:00,442,38,191,54902
2023-01-07 16:00:00,388,36,185,15256
2023-01-07 17:00:00,208,35,173,12875
2023-01-07 18:00:00,424,9,159,41881
2023-01-07 19:00:00,378,28,44,20912
2023-01-07 20:00:00,15,1,24,27646
2023-01-07 21:00:00,472,75,55,62390
2023-01-07 22:00:00,335,71,0,20181
2023-01-07 23:00:00,194,79,45,27622
2023-01-08 00:00:00,70,30,154,49195
2023-01-08 01:00:00,435,59,168,68058
2023-01-08 02:00:00,357,88,172,92418
2023-01-08 03:00:00,164,36,197,27229
2023-01-08 04:00:00,324,94,138,33135
2023-01-08 05:00:00,484,63,130,77358
2023-01-08 06:00:00,242,97,96,64323
2023-01-08 07:00:00,262,31,172,60900
2023-01-08 08:00:00,408,71,197,15898
2023-01-08 09:00:00,315,4,155,16611
2023-01-08 10:00:00,257,3,191,89111
2023-01-08 11:00:00,472,40,98,47857
2023-01-08 12:00:00,278,75,150,86327
2023-01-08 13:00:00,376,54,172,14267
2023-01-08 14:00:00,379,43,130,43567
2023-01-08 15:00:00,428,9,10,38100
2023-01-08 16:00:00,111,61,85,79103
2023-01-08 17:00:00,103,97,84,63127
2023-01-08 18:00:00,309,12,27,14220
2023-01-08 19:00:00,99,9,68,84172
2023-01-08 20:00:00,288,32,64,4116
2023-01-08 21:00:00,87,46,64,17330
2023-01-08 22:00:00,18,12,61,33653
2023-01-08 23:00:00,329,29,28,39148
2023-01-09 00:00:00,254,14,196,97352
2023-01-09 01:00:00,340,23,163,13274
2023-01-09 02:00:00,406,66,28,74831
2023-01-09 03:00:00,138,73,152,29389
2023-01-09 04:00:00,498,79,5,97839
2023-01-09 05:00:00,134,42,166,41565
2023-01-09 06:00:00,312,16,69,59149
2023-01-09 07:00:00,485,95,21,50261
